case_id,condition,duration_seconds,evidence_identification,reasoning_traceability,uncertainty_communication,overall_usefulness,clarity_mean,grounding_precision,attack_step_recall,hallucination_rate,non_completion
D1-C1,C1,0.193721056,3,2,4,2,2.75,0.9,0,0,0
D1-C1,C2,29.20133758,3,2,5,2,1.5,0.5,0,0,0
D1-C1,C3,366.8517044,3,3,3,2,2.75,0.7,0.17,0,0
D1-C1,Argus,573.2740977,4,4,4,3,3.75,0.8,0.6,0,0
D1-C2,C1,0.012525558,3,2,4,2,2.75,0.8,0,0,0
D1-C2,C2,26.84534383,3,2,5,2,2,0.7,0,0,0
D1-C2,C3,357.2418864,2,2,3,1,2,0.8,0,0.1,0
D1-C2,Argus,525.2306302,4,4,4,3,3.75,0.9,0.6,0,0
D1-C3,C1,0.013731241,3,2,4,2,3,1,0,0,0
D1-C3,C2,29.46226382,3,2,5,2,2,0.8,0,0,0
D1-C3,C3,423.2507424,3,3,3,2,2.75,0.7,0,0,0
D1-C3,Argus,519.8771312,4,4,4,3,3,0.8,0.55,0,0
D1-C4,C1,0.017156124,3,2,3,2,2.5,0.9,0.2,0.1,0
D1-C4,C2,29.23701048,3,2,5,2,1.5,0.75,0,0,0
D1-C4,C3,378.7932494,3,3,3,2,2.75,0.7,0,0,0
D1-C4,Argus,499.4194527,4,4,4,3,3.75,0.85,0.65,0,0
D1-C5,C1,0.161178112,2,2,4,2,2.5,0.8,0,0,0
D1-C5,C2,29.08024955,3,2,5,2,2,0.65,0,0,0
D1-C5,C3,514.0677984,2,2,3,1,2,0.45,0,0.4,0
D1-C5,Argus,515.9983709,4,4,4,3,4,0.8,0.75,0.1,0
D1-C6,C1,0.011768341,2,2,4,2,2.5,0.9,0,0,0
D1-C6,C2,30.05187011,3,2,5,2,1.5,0.7,0,0,0
D1-C6,C3,272.9194632,3,3,3,2,2.75,0.75,0,0,0
D1-C6,Argus,524.155556,4,4,4,3,3.75,0.8,0.6,0,0
D2-C1,C1,0.090477705,2,2,4,2,2.5,0.9,0,0,0
D2-C1,C2,32.74275994,3,2,5,2,2,0.9,0,0,0
D2-C1,C3,504.5397465,2,2,3,1,2,0.35,0,0.35,0
D2-C1,Argus,624.57174,3,3,3,2,3.5,0.85,0.85,0.25,0
D2-C2,C1,0.019809723,2,2,4,2,2.5,0.9,0,0,0
D2-C2,C2,28.72175431,3,2,5,2,1.75,0.85,0,0,0
D2-C2,C3,302.4478607,3,3,3,2,2.75,0.85,0,0,0
D2-C2,Argus,525.3634903,3,3,4,2,3,0.9,0.7,0.15,0
D2-C3,C1,0.134065866,4,2,3,3,3.25,0.5,0.25,0.5,0
D2-C3,C2,30.65112352,3,2,5,2,2.5,0.9,0,0,0
D2-C3,C3,301.5338638,3,3,3,2,2.75,0.85,0.25,0,0
D2-C3,Argus,125.1796784,4,3,4,3,3.5,0.9,0.7,0,0
D2-C4,C1,0.020759344,2,2,4,2,2.5,0.95,0,0,0
D2-C4,C2,29.6845696,3,2,5,2,1.5,0.8,0,0,0
D2-C4,C3,300.4047568,3,3,3,2,2.75,0.85,0,0,0
D2-C4,Argus,152.2238011,4,4,4,3,3.75,0.85,0.75,0,0
D2-C5,C1,0.02303791,3,2,2,2,2.75,0.9,0.2,0.1,0
D2-C5,C2,29.76601791,3,2,5,2,1.5,0.9,0,0,0
D2-C5,C3,241.8809626,3,3,3,2,2.75,0.85,0,0,0
D2-C5,Argus,109.2179945,4,3,4,3,3.5,0.8,0.7,0,0
